name,parent_brand,price,memory,core_clock,core_boost_clock,length,user_score,user_ratings_count,chipset
Zotac GAMING Trinity,NVIDIA,769.97,16384.0,2340,2610,307,0,5,GeForce RTX 4070 Ti SUPER
Zotac GAMING Trinity OC,NVIDIA,1039.97,16384.0,2210,2565,307,0,8,GeForce RTX 4080 SUPER
Zotac GAMING Trinity,NVIDIA,1019.97,16384.0,2210,2550,307,0,1,GeForce RTX 4080 SUPER
Zotac GAMING Twin Edge OC,NVIDIA,609.97,12288.0,1980,2490,234,0,1,GeForce RTX 4070 SUPER
Zotac GAMING SOLO,NVIDIA,289.99,8192.0,1830,2460,163,0,3,GeForce RTX 4060
Zotac GAMING Trinity OC,NVIDIA,889.99,16384.0,2340,2625,307,0,4,GeForce RTX 4070 Ti SUPER
Zotac Twin Edge OC,NVIDIA,569.99,12288.0,1920,2490,226,0,4,GeForce RTX 4070
Zotac GAMING Twin Edge,NVIDIA,360.06,12288.0,1320,1777,224,0,5,GeForce RTX 3060 12GB
Zotac Twin Edge OC,NVIDIA,299.95,8192.0,1830,2475,221,0,1,GeForce RTX 4060
Zotac GAMING Twin Edge OC,NVIDIA,319.97,8192.0,1830,2490,221,0,1,GeForce RTX 4060
Zotac MINI,NVIDIA,245.29,8192.0,1470,1650,210,0,8,GeForce RTX 2060 SUPER
Zotac GAMING Twin Edge,NVIDIA,379.97,8192.0,2310,2535,226,0,1,GeForce RTX 4060 Ti
Zotac Twin Edge,NVIDIA,599.99,12288.0,1980,2475,234,0,0,GeForce RTX 4070 SUPER
Zotac GAMING AMP AIRO Spider-Man: Across the Spider-Verse,NVIDIA,681.7,12288.0,2310,2670,308,0,0,GeForce RTX 4070 Ti
Zotac GAMING Twin Edge,NVIDIA,525.12,16384.0,2310,2535,226,0,2,GeForce RTX 4060 Ti
Zotac GAMING AMP,NVIDIA,,12288.0,1320,1867,232,0,6,GeForce RTX 3060 12GB
Zotac GAMING Twin Edge,NVIDIA,,8192.0,1410,1665,222,0,1,GeForce RTX 3060 Ti LHR
Zotac GAMING Twin Edge OC,NVIDIA,495.0,8192.0,1500,1755,232,0,14,GeForce RTX 3070
Zotac GAMING Trinity OC,NVIDIA,1062.19,10240.0,1440,1725,318,0,10,GeForce RTX 3080 10GB
Zotac GAMING Trinity OC,NVIDIA,729.99,12288.0,2310,2625,307,0,0,GeForce RTX 4070 Ti
Zotac GAMING Twin Edge OC,NVIDIA,339.99,12288.0,1320,1807,224,0,17,GeForce RTX 3060 12GB
Zotac Twin Edge,NVIDIA,,12288.0,1920,2475,226,0,1,GeForce RTX 4070
Zotac Trinity Black Edition,NVIDIA,624.28,12288.0,1980,2475,307,0,3,GeForce RTX 4070 SUPER
Zotac GAMING AMP Holo,NVIDIA,839.99,16384.0,2340,2640,356,0,2,GeForce RTX 4070 Ti SUPER
Zotac GAMING SOLID OC,NVIDIA,,16384.0,2340,2640,336,0,0,GeForce RTX 4070 Ti SUPER
Zotac GAMING Twin Edge OC,NVIDIA,,12288.0,1920,2490,226,0,2,GeForce RTX 4070
Zotac GAMING,NVIDIA,219.95,6144.0,1500,1770,173,0,3,GeForce GTX 1660 Ti
Zotac GAMING AMP,NVIDIA,1049.97,16384.0,2210,2610,308,0,0,GeForce RTX 4080 SUPER
Zotac GAMING,NVIDIA,575.0,6144.0,1365,1680,210,0,12,GeForce RTX 2060
Zotac GAMING AMP Extreme AIRO,NVIDIA,,24576.0,2235,2580,356,0,8,GeForce RTX 4090
Zotac GAMING Twin Edge OC,NVIDIA,450.99,8192.0,1410,1695,222,0,10,GeForce RTX 3060 Ti LHR
Zotac GAMING SOLO,NVIDIA,184.98,6144.0,1040,1470,151,0,0,GeForce RTX 3050 6GB
Zotac GAMING Twin Fan,NVIDIA,269.0,6144.0,1530,1785,216,0,3,GeForce GTX 1660
Zotac GAMING Trinity OC,NVIDIA,1499.99,24576.0,1395,1710,318,0,4,GeForce RTX 3090
Zotac GAMING AMP Holo,NVIDIA,574.99,8192.0,1575,1830,317,0,8,GeForce RTX 3070 Ti
Zotac GAMING Twin Edge OC,NVIDIA,414.39,8192.0,2310,2565,226,0,0,GeForce RTX 4060 Ti
Zotac ZT-71115-20L,NVIDIA,79.99,4096.0,902,,,0,1,GeForce GT 730
Zotac GAMING Trinity OC,NVIDIA,1307.48,12288.0,1365,1695,318,0,5,GeForce RTX 3080 Ti
Zotac GAMING Trinity OC,NVIDIA,569.26,8192.0,1575,1800,318,0,1,GeForce RTX 3070 Ti
Zotac GAMING Low Profile,NVIDIA,174.99,6144.0,1040,1470,151,0,0,GeForce RTX 3050 6GB
Zotac GAMING Trinity,NVIDIA,1139.0,16384.0,2205,2505,356,0,1,GeForce RTX 4080
Zotac GAMING AMP,NVIDIA,259.89,6144.0,1530,1845,210,0,1,GeForce GTX 1660 SUPER
Zotac GAMING Twin Fan,NVIDIA,229.0,6144.0,1530,1785,173,0,15,GeForce GTX 1660 SUPER
Zotac GAMING Trinity OC,NVIDIA,1159.0,16384.0,2205,2520,356,0,0,GeForce RTX 4080
Zotac GAMING Trinity OC,NVIDIA,994.4,12288.0,2310,2625,307,0,6,GeForce RTX 4070 Ti
Zotac GAMING Twin Edge,NVIDIA,,8192.0,1550,1777,224,0,2,GeForce RTX 3050 8GB
Zotac Twin Edge OC,NVIDIA,458.05,8192.0,1410,1695,222,0,7,GeForce RTX 3060 Ti
Zotac GAMING Twin Edge OC White Edition,NVIDIA,,8192.0,1500,1755,232,0,3,GeForce RTX 3070 LHR
Zotac MINI,NVIDIA,,4096.0,1303,1417,145,0,30,GeForce GTX 1050 Ti
Zotac GAMING Trinity OC,NVIDIA,,24576.0,2235,2535,356,0,3,GeForce RTX 4090
Zotac GAMING AMP Extreme AIRO,NVIDIA,1229.99,16384.0,2210,2610,356,0,1,GeForce RTX 4080 SUPER
Zotac ZT-71302-20L,NVIDIA,54.99,2048.0,954,,144,0,1,GeForce GT 710
Zotac GAMING AMP,NVIDIA,383.47,8192.0,1410,1755,232,0,5,GeForce RTX 3060 Ti LHR
Zotac GAMING Twin Fan,NVIDIA,259.99,4096.0,1530,1725,158,0,11,GeForce GTX 1650 SUPER
Zotac MINI,NVIDIA,,8192.0,1605,1770,210,0,9,GeForce RTX 2070 SUPER
Zotac AMP,NVIDIA,,6144.0,1556,1771,210,0,31,GeForce GTX 1060 6GB
Zotac GAMING AMP Holo,NVIDIA,559.0,8192.0,1500,1785,291,0,3,GeForce RTX 3070
Zotac AMP,NVIDIA,3358.0,11264.0,1569,1683,300,0,8,GeForce GTX 1080 Ti
Zotac AMP Core,NVIDIA,,4096.0,1410,1650,162,0,0,GeForce GTX 1650 G6
Zotac GAMING,NVIDIA,,6144.0,1365,1680,210,0,7,GeForce RTX 2060
Zotac GAMING AMP Holo,NVIDIA,1039.0,12288.0,1365,1710,318,0,1,GeForce RTX 3080 Ti
Zotac MINI,NVIDIA,,8192.0,1518,1708,210,0,23,GeForce GTX 1070
Zotac GAMING Twin Edge,NVIDIA,,8192.0,1320,1777,224,0,0,GeForce RTX 3060 8GB
Zotac GAMING AMP Extreme AIRO,NVIDIA,1075.0,12288.0,2310,2700,356,0,1,GeForce RTX 4070 Ti
Zotac GAMING,NVIDIA,564.29,8192.0,1575,1770,318,0,1,GeForce RTX 3070 Ti
Zotac GAMING AMP Spider-Man: Across the Spider-Verse,NVIDIA,,16384.0,2310,2595,226,0,2,GeForce RTX 4060 Ti
Zotac MINI,NVIDIA,,6144.0,1506,1708,174,0,30,GeForce GTX 1060 6GB
Zotac GAMING Twin Edge OC,NVIDIA,399.99,8192.0,1550,1807,224,0,1,GeForce RTX 3050 8GB
Zotac GAMING Twin Fan,NVIDIA,,8192.0,1605,1770,268,0,4,GeForce RTX 2070 SUPER
Zotac GAMING,NVIDIA,,4096.0,1740,1785,151,0,0,GeForce GTX 1630
Zotac GAMING Trinity,NVIDIA,739.0,10240.0,1440,1710,318,0,3,GeForce RTX 3080 10GB
Zotac GAMING OC,NVIDIA,259.99,4096.0,1410,1620,151,0,0,GeForce GTX 1650 G6
Zotac AMP,NVIDIA,,8192.0,1607,1797,300,0,14,GeForce GTX 1070
Zotac ZT-P10300A-10L,NVIDIA,106.74,2048.0,1227,1468,173,0,1,GeForce GT 1030
Zotac GAMING Trinity OC,NVIDIA,1049.0,12288.0,1260,1725,318,0,2,GeForce RTX 3080 12GB LHR
Zotac GAMING Twin Edge,NVIDIA,,8192.0,1410,1665,232,0,0,GeForce RTX 3060 Ti
Zotac GAMING AMP,NVIDIA,,11264.0,1350,1665,308,0,5,GeForce RTX 2080 Ti
